user_id,user_type,name,email,university,academic_stream,cgpa,language,region,career_interest,mood_preference,company,job_role,experience_years,age,mentoring_rating,total_mentees,availability,bio
mentor_0001,mentor,Mentor 1,mentor1@example.com,VIT Vellore,Data Science,8.936131645311171,Marathi,Bangalore,Healthcare Technology,Friendly & Casual,Adobe,Research Scientist,19,40,4.43,7,Low,Experienced Research Scientist with passion for Healthcare Technology
mentor_0002,mentor,Mentor 2,mentor2@example.com,NIT Trichy,Data Science,7.440393882775062,Bengali,South India,Product Development,Patient & Understanding,Adobe,DevOps Engineer,13,29,4.77,26,Medium,Experienced DevOps Engineer with passion for Product Development
mentor_0003,mentor,Mentor 3,mentor3@example.com,Amity University,Information Technology,7.9530721044152175,Kannada,Ahmedabad,Startup Ecosystem,Supportive & Empathetic,Google,Product Manager,5,43,3.79,1,High,Experienced Product Manager with passion for Startup Ecosystem
mentor_0004,mentor,Mentor 4,mentor4@example.com,Manipal Institute,Computer Science,8.16545454088421,Bengali,Chennai,Data Science & AI,Friendly & Casual,TCS,Full Stack Developer,17,28,3.69,16,Low,Experienced Full Stack Developer with passion for Data Science & AI
mentor_0005,mentor,Mentor 5,mentor5@example.com,IIIT Hyderabad,Civil Engineering,6.103070753071047,Tamil,South India,Entrepreneurship,Direct & Straightforward,Morgan Stanley,Machine Learning Engineer,13,33,4.95,36,Medium,Experienced Machine Learning Engineer with passion for Entrepreneurship
mentor_0006,mentor,Mentor 6,mentor6@example.com,Amity University,Data Science,9.593359957281274,Hindi,Kolkata,Data Science & AI,Challenging & Critical,Flipkart,Research Scientist,18,28,3.66,13,Low,Experienced Research Scientist with passion for Data Science & AI
mentor_0007,mentor,Mentor 7,mentor7@example.com,NIT Surathkal,Information Technology,7.155366089661906,Malayalam,Delhi NCR,Startup Ecosystem,Motivational & Inspiring,Wipro,Consultant,11,33,4.22,24,Medium,Experienced Consultant with passion for Startup Ecosystem
mentor_0008,mentor,Mentor 8,mentor8@example.com,VIT Vellore,Information Technology,7.8956532817139875,Hindi,Bangalore,Consulting,Direct & Straightforward,Wipro,Data Engineer,3,43,4.38,29,High,Experienced Data Engineer with passion for Consulting
mentor_0009,mentor,Mentor 9,mentor9@example.com,Anna University,Electrical Engineering,8.01246560555932,Tamil,Mumbai Metropolitan,Healthcare Technology,Friendly & Casual,TCS,Research Scientist,18,35,4.31,28,Very High,Experienced Research Scientist with passion for Healthcare Technology
mentor_0010,mentor,Mentor 10,mentor10@example.com,IIT Madras,Computer Science,6.848172697607762,Malayalam,East India,Product Development,Patient & Understanding,Deloitte,Consultant,11,42,3.63,19,Medium,Experienced Consultant with passion for Product Development
mentor_0011,mentor,Mentor 11,mentor11@example.com,VIT Vellore,Biotechnology,8.977584265158082,Kannada,Bangalore,Healthcare Technology,Supportive & Empathetic,Deloitte,Product Manager,14,33,3.59,20,Very High,Experienced Product Manager with passion for Healthcare Technology
mentor_0012,mentor,Mentor 12,mentor12@example.com,Manipal Institute,Electrical Engineering,7.712764215483546,Marathi,East India,Finance & Investment,Analytical & Logical,Meta,Data Scientist,11,36,3.66,21,High,Experienced Data Scientist with passion for Finance & Investment
mentor_0013,mentor,Mentor 13,mentor13@example.com,Manipal Institute,Electrical Engineering,7.329221890474133,Gujarati,Central India,Product Development,Professional & Formal,Goldman Sachs,Consultant,9,30,4.38,34,Medium,Experienced Consultant with passion for Product Development
mentor_0014,mentor,Mentor 14,mentor14@example.com,IIIT Hyderabad,Chemical Engineering,7.610806369910754,Tamil,Bangalore,Startup Ecosystem,Challenging & Critical,Infosys,Product Manager,16,38,4.32,36,Medium,Experienced Product Manager with passion for Startup Ecosystem
mentor_0015,mentor,Mentor 15,mentor15@example.com,NIT Surathkal,Civil Engineering,8.111401758887219,Punjabi,Pune,Finance & Investment,Professional & Formal,Paytm,Product Manager,4,30,3.85,15,Medium,Experienced Product Manager with passion for Finance & Investment
mentor_0016,mentor,Mentor 16,mentor16@example.com,NIT Trichy,Information Technology,7.50863853184776,Tamil,Ahmedabad,Corporate Growth,Friendly & Casual,Infosys,Data Scientist,11,38,4.46,49,High,Experienced Data Scientist with passion for Corporate Growth
mentor_0017,mentor,Mentor 17,mentor17@example.com,IIIT Hyderabad,Civil Engineering,8.205543928306591,Tamil,Ahmedabad,Consulting,Challenging & Critical,Paytm,Business Analyst,15,31,4.73,48,High,Experienced Business Analyst with passion for Consulting
mentor_0018,mentor,Mentor 18,mentor18@example.com,IIIT Hyderabad,Mechanical Engineering,6.152102288825809,Malayalam,East India,Social Impact,Challenging & Critical,Zomato,Research Scientist,17,30,3.56,42,Medium,Experienced Research Scientist with passion for Social Impact
mentor_0019,mentor,Mentor 19,mentor19@example.com,IIT Madras,Chemical Engineering,6.901624008138808,English,Mumbai Metropolitan,Corporate Growth,Supportive & Empathetic,Meta,UI/UX Designer,5,34,4.25,16,Low,Experienced UI/UX Designer with passion for Corporate Growth
mentor_0020,mentor,Mentor 20,mentor20@example.com,BITS Pilani,Biotechnology,6.0,Bengali,Pune,Research & Innovation,Challenging & Critical,Flipkart,Software Engineer,13,41,4.53,15,Medium,Experienced Software Engineer with passion for Research & Innovation
mentor_0021,mentor,Mentor 21,mentor21@example.com,NIT Surathkal,Civil Engineering,9.097606525474356,English,North India,Healthcare Technology,Motivational & Inspiring,Goldman Sachs,Software Engineer,16,27,3.88,1,Low,Experienced Software Engineer with passion for Healthcare Technology
mentor_0022,mentor,Mentor 22,mentor22@example.com,IIT Bombay,Electronics,9.087193702147948,Kannada,West India,Social Impact,Direct & Straightforward,Infosys,UI/UX Designer,10,26,3.96,3,Medium,Experienced UI/UX Designer with passion for Social Impact
mentor_0023,mentor,Mentor 23,mentor23@example.com,IIIT Hyderabad,Data Science,8.001292854026389,Punjabi,West India,Finance & Investment,Direct & Straightforward,Startup,Data Engineer,18,33,4.42,20,Medium,Experienced Data Engineer with passion for Finance & Investment
mentor_0024,mentor,Mentor 24,mentor24@example.com,SRM University,Mechanical Engineering,6.689905543269575,Marathi,Mumbai Metropolitan,Academia & Teaching,Direct & Straightforward,Paytm,Machine Learning Engineer,4,44,4.85,38,High,Experienced Machine Learning Engineer with passion for Academia & Teaching
mentor_0025,mentor,Mentor 25,mentor25@example.com,PESIT Bangalore,Computer Science,9.41190261777466,Telugu,Delhi NCR,Corporate Growth,Motivational & Inspiring,Microsoft,Frontend Engineer,10,36,4.71,33,Medium,Experienced Frontend Engineer with passion for Corporate Growth
mentor_0026,mentor,Mentor 26,mentor26@example.com,BITS Pilani,Biotechnology,7.016468417494631,Kannada,North India,Research & Innovation,Professional & Formal,Infosys,Machine Learning Engineer,8,37,4.37,29,Medium,Experienced Machine Learning Engineer with passion for Research & Innovation
mentor_0027,mentor,Mentor 27,mentor27@example.com,IIT Bombay,Mechanical Engineering,7.329434298475869,Telugu,Central India,Tech Leadership,Supportive & Empathetic,Microsoft,Frontend Engineer,14,37,4.6,5,Medium,Experienced Frontend Engineer with passion for Tech Leadership
